Date,QQQ
2015-01-02,94.6650619506836
2015-01-05,93.27648162841797
2015-01-06,92.0257339477539
2015-01-07,93.21208953857422
2015-01-08,94.9961166381836
2015-01-09,94.37077331542969
2015-01-12,93.3868179321289
2015-01-13,93.35920715332031
2015-01-14,92.84424591064453
2015-01-15,91.63955688476562
2015-01-16,92.7154769897461
2015-01-20,93.45118713378906
2015-01-21,93.92937469482422
2015-01-22,95.66742706298828
2015-01-23,95.87895965576172
2015-01-26,95.76861572265625
2015-01-27,93.28564453125
2015-01-28,92.80746459960938
2015-01-29,93.69947814941406
2015-01-30,92.97297668457031
2015-02-02,93.78223419189453
2015-02-03,94.68345642089844
2015-02-04,94.60067749023438
2015-02-05,95.4191665649414
2015-02-06,94.83980560302734
2015-02-09,94.53633117675781
2015-02-10,96.00769805908203
2015-02-11,96.35716247558594
2015-02-12,97.47907257080078
2015-02-13,98.31592559814453
2015-02-17,98.40790557861328
2015-02-18,98.54584503173828
2015-02-19,99.03324127197266
2015-02-20,99.69536590576172
2015-02-23,99.79652404785156
2015-02-24,99.87007904052734
2015-02-25,99.6218032836914
2015-02-26,100.12757110595703
2015-02-27,99.68614959716797
2015-03-02,100.5873794555664
2015-03-03,100.11837005615234
2015-03-04,99.73216247558594
2015-03-05,99.90685272216797
2015-03-06,98.77574157714844
2015-03-09,99.06082916259766
2015-03-10,97.2215805053711
2015-03-11,96.66064453125
2015-03-12,97.295166015625
2015-03-13,96.87213897705078
2015-03-16,98.12283325195312
2015-03-17,98.27916717529297
2015-03-18,99.24472045898438
2015-03-19,99.39187622070312
2015-03-20,100.03526306152344
2015-03-23,99.84170532226562
2015-03-24,99.48221588134766
2015-03-25,97.2055435180664
2015-03-26,96.87373352050781
2015-03-27,97.26082611083984
2015-03-30,98.37613677978516
2015-03-31,97.33457946777344
2015-04-01,96.82762145996094
2015-04-02,96.89214324951172
2015-04-06,97.68486785888672
2015-04-07,97.51893615722656
2015-04-08,98.29315948486328
2015-04-09,98.91075134277344
2015-04-10,99.31631469726562
2015-04-13,99.06745147705078
2015-04-14,98.78168487548828
2015-04-15,99.39925384521484
2015-04-16,99.26097869873047
2015-04-17,97.71249389648438
2015-04-20,99.17801666259766
2015-04-21,99.60203552246094
2015-04-22,100.14585876464844
2015-04-23,100.52375793457031
2015-04-24,101.887939453125
2015-04-27,101.62980651855469
2015-04-28,101.42706298828125
2015-04-29,100.79106903076172
2015-04-30,99.2056884765625
2015-05-01,100.5145492553711
2015-05-04,100.68046569824219
2015-05-05,99.03976440429688
2015-05-06,98.35771942138672
2015-05-07,98.94757843017578
2015-05-08,100.1827163696289
2015-05-11,99.79559326171875
2015-05-12,99.34392547607422
2015-05-13,99.54674530029297
2015-05-14,101.00304412841797
2015-05-15,101.00304412841797
2015-05-18,101.44546508789062
2015-05-19,101.33486938476562
2015-05-20,101.39940643310547
2015-05-21,101.9248046875
2015-05-22,101.82339477539062
2015-05-26,100.65279388427734
2015-05-27,102.2750473022461
2015-05-28,102.04461669921875
2015-05-29,101.43626403808594
2015-06-01,101.77732849121094
2015-06-02,101.4547119140625
2015-06-03,101.7588882446289
2015-06-04,100.98462677001953
2015-06-05,100.7449951171875
2015-06-08,99.72187042236328
2015-06-09,99.55592346191406
2015-06-10,100.92011260986328
2015-06-11,101.06755828857422
2015-06-12,100.23802947998047
2015-06-15,99.74031066894531
2015-06-16,100.28411865234375
2015-06-17,100.56063842773438
2015-06-18,102.02619171142578
2015-06-19,101.52174377441406
2015-06-22,102.27006530761719
2015-06-23,102.35323333740234
2015-06-24,101.82661437988281
2015-06-25,101.62338256835938
2015-06-26,100.9489974975586
2015-06-29,98.5654525756836
2015-06-30,98.9165267944336
2015-07-01,99.70177459716797
2015-07-02,99.72948455810547
2015-07-06,99.49855041503906
2015-07-07,99.74797058105469
2015-07-08,98.0111083984375
2015-07-09,97.95571899414062
2015-07-10,99.45233917236328
2015-07-13,101.19841766357422
2015-07-14,101.86356353759766
2015-07-15,101.97442626953125
2015-07-16,103.41565704345703
2015-07-17,104.93997955322266
2015-07-20,105.30033111572266
2015-07-21,105.23563385009766
2015-07-22,104.04386901855469
2015-07-23,103.6558609008789
2015-07-24,102.63961029052734
2015-07-27,101.78965759277344
2015-07-28,102.66730499267578
2015-07-29,103.05535888671875
2015-07-30,103.54498291015625
2015-07-31,103.42488098144531
2015-08-03,103.10154724121094
2015-08-04,102.90751647949219
2015-08-05,103.70204162597656
2015-08-06,102.03912353515625
2015-08-07,101.90977478027344
2015-08-10,103.0738296508789
2015-08-11,101.75273895263672
2015-08-12,102.10377502441406
2015-08-13,101.93749237060547
2015-08-14,102.09455108642578
2015-08-17,102.94448852539062
2015-08-18,102.41790008544922
2015-08-19,101.74349212646484
2015-08-20,98.92573547363281
2015-08-21,94.60212707519531
2015-08-24,90.96216583251953
2015-08-25,90.62033081054688
2015-08-26,95.18417358398438
2015-08-27,97.59540557861328
2015-08-28,97.57696533203125
2015-08-31,96.36666870117188
2015-09-01,93.35494995117188
2015-09-02,95.98792266845703
2015-09-03,95.51673889160156
2015-09-04,94.38041687011719
2015-09-08,97.04110717773438
2015-09-09,95.95094299316406
2015-09-10,96.99490356445312
2015-09-11,97.53073120117188
2015-09-14,97.23511505126953
2015-09-15,98.38066101074219
2015-09-16,98.93498992919922
2015-09-17,98.97193908691406
2015-09-18,97.56427001953125
2015-09-21,97.86988067626953
2015-09-22,96.40666961669922
2015-09-23,96.48075103759766
2015-09-24,96.12883758544922
2015-09-25,95.3138427734375
2015-09-28,92.60038757324219
2015-09-29,92.11881256103516
2015-09-30,94.23958587646484
2015-10-01,94.66558837890625
2015-10-02,96.32330322265625
2015-10-05,97.70320892333984
2015-10-06,97.24015045166016
2015-10-07,97.8235855102539
2015-10-08,98.21255493164062
2015-10-09,98.65706634521484
2015-10-12,98.89788055419922
2015-10-13,98.25885772705078
2015-10-14,98.10140228271484
2015-10-15,99.71283721923828
2015-10-16,100.12958526611328
2015-10-19,100.7037582397461
2015-10-20,100.18512725830078
2015-10-21,99.57389831542969
2015-10-22,101.60204315185547
2015-10-23,104.44517517089844
2015-10-26,104.50997161865234
2015-10-27,104.7230224609375
2015-10-28,105.59354400634766
2015-10-29,105.42682647705078
2015-10-30,104.95453643798828
2015-11-02,106.13993072509766
2015-11-03,106.51038360595703
2015-11-04,106.51964569091797
2015-11-05,106.23253631591797
2015-11-06,106.30665588378906
2015-11-09,105.1767807006836
2015-11-10,104.908203125
2015-11-11,104.778564453125
2015-11-12,103.75987243652344
2015-11-13,101.72245025634766
2015-11-16,103.18569946289062
2015-11-17,103.2505111694336
2015-11-18,105.23234558105469
